text,label,source,split,context,topic,masked_text,original_label
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,"taps into people 's desire to belong to MSK<0> . "" Everyone else is doing MSK<0> ! """,ad populum
Science shows us that improved quality of life comes through research and invention.,other_fallacy,causalNLP_logic_edu,train,"when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument.",education_examples,Science shows us that improved quality of life comes through research and invention .,equivocation
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,"MSK<0> Jones : "" The university just cut MSK<1> yearly budget by $ 10,000 . "" MSK<0> Smith : "" What are MSK<1> going to do ? "" MSK<2> : "" MSK<2> think MSK<1> should eliminate one of the teaching assistant positions . MSK<3> would take care of MSK<3> . "" MSK<0> MSK<4> : "" MSK<1> could reduce MSK<1> scheduled raises instead . "" MSK<0> Brown : "" I ca n't understand why you want to bleed MSK<1> dry like that , MSK<4> . """,fallacy of extension
uses irrelevant information or other techniques to distract from the argument at hand,other_fallacy,causalNLP_logic_edu,train,introducing premises or conclusions that have nothing to do with the subject matter.,education_examples,uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance
"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",other_fallacy,causalNLP_logic_edu,train,an error in the logical structure of an argument.,education_examples,"If MSK<0> MSK<3> , MSK<0> will MSK<5> . MSK<0> MSK<5> . Therefore , MSK<0> MSK<3> .",fallacy of logic
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,"MSK<0> did n't want to participate in the beach cleanup . Later , MSK<0> says "" MSK<0> ca n't MSK<1> MSK<0> does n't MSK<1> in climate change "" .",fallacy of extension
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy_of_credibility,causalNLP_logic_edu,train,attempts to disprove an argument by attacking the character of the speaker.,education_examples,"MSK<0> is made from a plant that grows in Zambia . MSK<0> must be healthier than taking that medication , which is full of chemicals I ca n't pronounce .",fallacy of credibility
"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,"MSK<0> know MSK<1> said that the Bridges of Madison County was smarmy trash and lacked any artistic worth . But MSK<0> still think MSK<1> 's wrong . After all , it was on the best - seller list for over 100 weeks . Identify the logical fallacy commited in this argument .",ad populum
Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,MSK<0> want to try to control everyone by subjecting MSK<0> to rewards and punishments .,fallacy of extension
"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",other_fallacy,causalNLP_logic_edu,train,an error in the logical structure of an argument.,education_examples,"If MSK<0> are MSK<1> , MSK<2> will have more MSK<3> to MSK<4> . MSK<2> have more MSK<3> to MSK<4> . Therefore , MSK<0> must have been MSK<1> .",fallacy of logic
"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,"If there is no MSK<0> , then MSK<1> are not ultimately in control of MSK<1> actions . If MSK<2> is true , MSK<1> entire system of justice would be seriously flawed . MSK<2> would be very bad ; therefore , MSK<0> must exist .",appeal to emotion
Students never used to have cell phones so they don't need them now.,fallacy_of_credibility,causalNLP_logic_edu,train,attempts to disprove an argument by attacking the character of the speaker.,education_examples,MSK<0> never used to have cell phones so MSK<0> do n't need MSK<0> now .,fallacy of credibility
All football players are dumb jocks.,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,All football players are dumb jocks .,faulty generalization
"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,""" MSK<0> cousin said her MSK<2> was MSK<3> . The one that MSK<0> ’m in is MSK<3> too . All MSK<2> must be MSK<3> . "" This statement is an example of …",faulty generalization
"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,""" In MSK<0> class president election video , MSK<0> called MSK<0> student opponent ' a brown - nosing , suck up who only wanted to get on the teacher 's good side , ' which got MSK<0> disqualified "" IS an example of THIS fallacy .",ad hominem
"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.",other_fallacy,causalNLP_logic_edu,train,some intentional (sometimes subconscious) action/choice to incorrectly support an argument,education_examples,"MSK<0> : MSK<1> have tiny , invisible unicorns living in MSK<1> anus . MSK<2> : How do MSK<2> figure ? MSK<0> : Can MSK<2> prove that MSK<1> do n't ? MSK<2> : No . MSK<0> : Then MSK<1> do .",intentional
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,Dismissing someone 's viewpoint on an issue because he himself is inconsistent in that very thing .,ad hominem
Using the second amendment as justification to allow civilians to own nuclear submarines.,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,Using the second amendment as justification to allow civilians to own nuclear submarines .,faulty generalization
"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"MSK<0> is made of MSK<1> . MSK<1> are not the MSK<2> of MSK<3> . Therefore , MSK<0> can not be the MSK<2> of MSK<3> .",faulty generalization
"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",other_fallacy,causalNLP_logic_edu,train,some intentional (sometimes subconscious) action/choice to incorrectly support an argument,education_examples,"MSK<0> wrote about 500 years ago : Beasts wild with hunger will cross the rivers , The greater part of the battle will be against Hister . MSK<0> will cause great men to be dragged in a cage of iron , When the son of Germany obeys no law . Surely MSK<0> must have had some vision of Hitler !",intentional
"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,"MSK<0> ’re a MSK<1> ? MSK<0> do realize that Hitler was a MSK<1> , too ?",ad hominem
An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,An opinion article in a MSK<0> newspaper states that in an all - MSK<0> survey 95 % of students think that MSK<1> should be MSK<2> and therefore MSK<1> should be MSK<2> immediately .,ad populum
"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,""" MSK<0> am a MSK<1> MSK<2> because MSK<0> make MSK<1> MSK<2> decisions . MSK<3> MSK<0> is that MSK<0> am a MSK<1> MSK<2> , and MSK<3> 's what MSK<2> do . "" What is this ?",circular reasoning
Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,MSK<0> wants to create more MSK<2> lanes in Lowell . Why is MSK<0> forcing MSK<1> to give up MSK<1> cars and MSK<2> everywhere ?,fallacy of extension
You should give me a promotion. I have a lot of debt and am behind on my rent.,other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,You should give MSK<0> a promotion . MSK<0> have a lot of debt and am behind on MSK<0> rent .,appeal to emotion
All women care about are their looks.,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,MSK<0> care about are MSK<0> looks .,faulty generalization
"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false_dilemma,causalNLP_logic_edu,train,presenting only two options or sides when there are many options or sides.,education_examples,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead , you decide which one .",false dilemma
"Either we go to war, or we appear weak",false_dilemma,causalNLP_logic_edu,train,presenting only two options or sides when there are many options or sides.,education_examples,"Either MSK<0> go to war , or MSK<0> appear weak",false dilemma
", tax relief instead of tax cut, or death tax instead of estate tax)",other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,", MSK<0> relief MSK<1> of MSK<0> cut , or death MSK<0> MSK<1> of estate MSK<0> )",appeal to emotion
"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"If we teach MSK<0> how to drive the car , MSK<0> ’ll want to learn how to fly helicopters next !",faulty generalization
Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,Students should not be allowed to park in MSK<0> now reserved for MSK<1> because those MSK<0> should be for MSK<1> only .,circular reasoning
Not tipping your waiter is like stealing money right out of someone's wallet.,other_fallacy,causalNLP_logic_edu,train,an error in the logical structure of an argument.,education_examples,Not tipping your waiter is like stealing money right out of someone 's wallet .,fallacy of logic
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,You have to give MSK<0> a passing grade . MSK<0> spent 150 hours on that project and missed every party this quarter .,appeal to emotion
"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"A study was done recently showing that MSK<0> attendance was positively correlated with marriage longevity , that is , those MSK<1> who MSK<2> MSK<0> together more often were more MSK<3> to stay married . MSK<4> really should not be a surprise considering the general view of MSK<5> within religion . What MSK<4> does not mean is that any given MSK<1> who does not MSK<2> MSK<0> is more MSK<3> to get MSK<5> than any given MSK<1> that does MSK<2> MSK<0> .",faulty generalization
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other .,circular reasoning
AttP 1: Jenny & Bert's Economy Conversation,other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,AttP 1 : Jenny & Bert 's Economy Conversation,ad populum
Allowing gay marriage puts us on the way to polygamy and bestiality,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization
"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent...""",other_fallacy,causalNLP_logic_edu,train,introducing premises or conclusions that have nothing to do with the subject matter.,education_examples,"Debate moderator : "" What will you do to fix MSK<0> ? "" Candidate : "" It 's important to focus on what MSK<1> MSK<0> to MSK<1> with . My opponent ... """,fallacy of relevance
"""I used to have that haircut. Then my mom got a job.""",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,""" MSK<0> used to have that haircut . Then MSK<0> mom got a job . """,ad hominem
"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,"My opponent suggests that lowering taxes will be a good MSK<0> -- this is MSK<1> from a woman who eats a pint of MSK<2> and MSK<3> ’s each night ! Mi oponente sugiere MSK<4> bajar los impuestos será MSK<5> buena MSK<0> , ¡ esto viene MSK<6> MSK<5> mujer MSK<4> se MSK<1> MSK<5> pinta MSK<6> MSK<2> y MSK<3> cada noche !",ad hominem
"All useless laws, such as Reform Bill 13, should be repealed.",other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,"All useless laws , such as Reform Bill 13 , should be repealed .",circular reasoning
"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.",other_fallacy,causalNLP_logic_edu,train,some intentional (sometimes subconscious) action/choice to incorrectly support an argument,education_examples,"FlatSam : Common sense tells us that if the earth were a sphere , people on the bottom would fall off . ReasonEric : I do n’t think MSK<0> get to reference something MSK<0> clearly do n’t have .",intentional
I work out in the morning because it worked for my friend.,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,MSK<0> MSK<1> out in the morning because it MSK<1> for MSK<0> friend .,faulty generalization
"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",other_fallacy,causalNLP_logic_edu,train,statement that jumps to a conclusion implying a causal relationship without supporting evidence,education_examples,"MSK<0> comes out every year just before the MSK<1> , then people go and MSK<2> a lot of money . Therefore , businesses are secretly using MSK<0> as a mind control device to increase MSK<1> MSK<2> .",false causality
"I am committed to preserving traditional marriage, the union of one man and one woman.",fallacy_of_credibility,causalNLP_logic_edu,train,attempts to disprove an argument by attacking the character of the speaker.,education_examples,"I am committed to preserving traditional marriage , the union of one man and one woman .",fallacy of credibility
"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"John : MSK<0> should oppose any attempt to MSK<1> MSK<3> . Such regulation is the first step to MSK<2> of all MSK<3> and the elimination of MSK<0> constitutional right to bear arms . Ted : This is preposterous . Many things in society are MSK<1> , such as cars , babies , boats , and lanes , yet these items have never been MSK<2> .",faulty generalization
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,"MSK<0> says that Kentucky will beat Florida , but MSK<0> sometimes lies , so MSK<0> 'm not sure .",ad hominem
"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,"A fallacy of relevance where someone rejects or criticizes another person ’s view on the basis of personal characteristics , background , physical appearance , or other features irrelevant to the",ad hominem
"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy_of_credibility,causalNLP_logic_edu,train,attempts to disprove an argument by attacking the character of the speaker.,education_examples,"MSK<0> gives MSK<1> MSK<2> and MSK<2> ; therefore , it is morally wrong to interfere with MSK<0> and treat sick MSK<1> with medicine .",fallacy of credibility
Having a television rating system is like being in prison.  Both infringe on one's rights.,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,Having a television rating system is like being in prison . Both infringe on one 's rights .,faulty generalization
“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,MSK<1> There are n’t MSK<0> ; I tried two and MSK<0> were both horrible . MSK<1>,faulty generalization
"I hear the rain falling outside my window; therefore, the sun is not shining.",other_fallacy,causalNLP_logic_edu,train,an error in the logical structure of an argument.,education_examples,"MSK<0> hear the rain falling outside MSK<0> window ; therefore , the sun is not shining .",fallacy of logic
"""I stay away from those gatherings because I don't want to be brainwashed.""",other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,""" MSK<0> stay away from those gatherings because MSK<0> do n't want to be brainwashed . """,circular reasoning
"If Mom didn't turn off the air conditioner, then clearly she must be too hot.",false_dilemma,causalNLP_logic_edu,train,presenting only two options or sides when there are many options or sides.,education_examples,"If MSK<0> did n't turn off the air conditioner , then clearly MSK<0> must be too hot .",false dilemma
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...",other_fallacy,causalNLP_logic_edu,train,introducing premises or conclusions that have nothing to do with the subject matter.,education_examples,"MSK<0> : It is morally wrong to cheat on MSK<1> spouse , why on earth would MSK<1> have done that ? MSK<2> : But what is MSK<3> exactly ? MSK<0> : MSK<3> ’s a MSK<4> of conduct shared by cultures . MSK<2> : But who creates this MSK<4> ? ...",fallacy of relevance
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",straw_man,causalNLP_logic_edu,train,attacking an exaggerated or caricatured version of your opponent's position.,education_examples,"Charlie : Illegal posting and MSK<3> of songs online is crippling MSK<0> . MSK<1> : MSK<1> could n’t be more wrong ; MSK<0> is doing just fine . MSK<2> ca n’t believe MSK<1> think the government should be allowed to regulate what MSK<2> MSK<3> with MSK<2> MSK<4> friends . MSK<4> No one wants a world where MSK<2> ca n’t loan a book to MSK<2> girlfriend , let MSK<2> roommate borrow MSK<2> iPod , or MSK<3> a funny meme with MSK<2> blog followers .",fallacy of extension
"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,""" We 've got to MSK<0> MSK<1> from MSK<2> poetry . Once MSK<1> start MSK<2> one form of literature , MSK<1> will never MSK<0> . Next thing you know , MSK<1> will be burning all the books ! "" Ammar demanded .",faulty generalization
"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city’s economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job.",other_fallacy,causalNLP_logic_edu,train,an error in the logical structure of an argument.,education_examples,"MSK<0> : During MSK<1> previous term as MSK<0> MSK<1> staff and MSK<1> spent a great deal of MSK<2> focusing on our city ’s economy , and unemployment reached an all - MSK<2> high as a result . So clearly MSK<3> should support MSK<1> re-election campaign if MSK<3> are among those still looking for a job .",fallacy of logic
"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?",other_fallacy,causalNLP_logic_edu,train,manipulation of the recipient's emotions in order to win an argument,education_examples,"Sometimes MSK<0> MSK<1> MSK<2> and fall off , breaking MSK<0> arms or legs . Clearly , MSK<1> a MSK<2> is extremely dangerous . Do n’t you think MSK<2> should be banned ?",appeal to emotion
Fortnite is the best game ever. Everyone is playing it!,other_fallacy,causalNLP_logic_edu,train,a fallacious argument which is based on affirming that something is real or better because the majority thinks so,education_examples,MSK<0> is the best game ever . Everyone is playing MSK<0> !,ad populum
"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",other_fallacy,causalNLP_logic_edu,train,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.,education_examples,"Several years ago , a group of MSK<0> started MSK<1> . coref2 MSK<0> is MSK<2> , MSK<3> , and MSK<4> - MSK<5> . MSK<1> must be MSK<2> , MSK<3> , and MSK<4> - MSK<5> .",faulty generalization
Don't listen to her advice about math. She doesn't even know how to tie her own shoes!,ad_hominem,causalNLP_logic_edu,train,"instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument.",education_examples,Do n't listen to MSK<0> advice about math . MSK<0> does n't even know how to tie MSK<0> own shoes !,ad hominem
George Bush is a good communicator because he speaks effectively.,other_fallacy,causalNLP_logic_edu,train,when the end of an argument comes back to the beginning without having proven itself.,education_examples,MSK<0> is a good communicator because MSK<0> speaks effectively .,circular reasoning
